casts,cover,cover_x,cover_y,directors,id,rate,star,title,url
"['朱莉·安德鲁斯', '克里斯托弗·普卢默', '埃琳诺·帕克', '理查德·海顿', '佩吉·伍德']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,557,768,['罗伯特·怀斯'],1294408,8.9,45,音乐之声,https://movie.douban.com/subject/1294408/
"['杰西·艾森伯格', '艾拉·菲舍尔', '伍迪·哈里森', '戴夫·弗兰科', '马克·鲁弗洛']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151336415.jpg,2876,4027,['路易斯·莱特里尔'],6517421,7.5,40,惊天魔盗团,https://movie.douban.com/subject/6517421/
"['汤姆·汉克斯', '哈莉·贝瑞', '吉姆·布劳德本特', '雨果·维文', '吉姆·斯特吉斯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1719175505.jpg,3268,4842,"['汤姆·提克威', '拉娜·沃卓斯基', '莉莉·沃卓斯基']",3530403,8.0,40,云图,https://movie.douban.com/subject/3530403/
"['杰米·福克斯', '莱昂纳多·迪卡普里奥', '克里斯托弗·沃尔兹', '塞缪尔·杰克逊', '凯丽·华盛顿']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg,1000,1666,['昆汀·塔伦蒂诺'],6307447,8.6,45,被解救的姜戈,https://movie.douban.com/subject/6307447/
"['弗兰西斯·麦克多蒙德', '伍迪·哈里森', '山姆·洛克威尔', '艾比·考尼什', '卢卡斯·赫奇斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg,2000,2758,['马丁·麦克唐纳'],26611804,8.7,45,三块广告牌,https://movie.douban.com/subject/26611804/
"['本尼迪克特·康伯巴奇', '凯拉·奈特莉', '马修·古迪', '罗里·金奈尔', '艾伦·里奇']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg,1772,2480,['莫滕·泰杜姆'],10463953,8.6,45,模仿游戏,https://movie.douban.com/subject/10463953/
"['莱昂纳多·迪卡普里奥', '汤姆·汉克斯', '克里斯托弗·沃肯', '马丁·辛', '艾米·亚当斯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,1000,1481,['史蒂文·斯皮尔伯格'],1305487,8.8,45,猫鼠游戏,https://movie.douban.com/subject/1305487/
"['埃迪·雷德梅恩', '凯瑟琳·沃特斯顿', '丹·福勒', '艾莉森·萨多尔', '科林·法瑞尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2392444121.jpg,630,900,['大卫·叶茨'],25726614,7.8,40,神奇动物在哪里,https://movie.douban.com/subject/25726614/
"['布鲁斯·威利斯', '海利·乔·奥斯蒙', '托妮·科莱特', '奥莉维亚·威廉姆斯', '唐尼·沃尔伯格']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,2711,4000,['M·奈特·沙马兰'],1297630,8.8,45,第六感,https://movie.douban.com/subject/1297630/
"['汤姆·汉克斯', '凯瑟琳·泽塔-琼斯', '斯坦利·图齐', '齐·麦克布赖德', '迭戈·卢纳']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792263736.jpg,2214,3000,['史蒂文·斯皮尔伯格'],1292274,8.7,45,幸福终点站,https://movie.douban.com/subject/1292274/
"['娜奥米·沃茨', '劳拉·哈灵', '安·米勒', '贾斯汀·塞洛克斯', '斯科特·科菲']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792248233.jpg,2100,3000,['大卫·林奇'],1292217,8.3,40,穆赫兰道,https://movie.douban.com/subject/1292217/
"['詹姆斯·弗兰科', '安迪·瑟金斯', '汤姆·费尔顿', '芙蕾达·平托', '布莱恩·考克斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1281402537.jpg,1013,1500,['鲁伯特·瓦耶特'],3274505,8.0,40,猩球崛起,https://movie.douban.com/subject/3274505/
"['伊桑·霍克', '朱莉·德尔佩', '安德莉亚·埃克特', '汉诺·波西尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452582315.jpg,1415,2100,['理查德·林克莱特'],1296339,8.7,45,爱在黎明破晓前,https://movie.douban.com/subject/1296339/
"['沙尔托·科普雷', '詹森·库伯', '娜塔莉·博尔特', '茜尔雯·斯特赖克', '约翰·萨莫尔']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1086352249.jpg,2015,3000,['尼尔·布洛姆坎普'],3006772,8.2,40,第九区,https://movie.douban.com/subject/3006772/
"['达斯汀·霍夫曼', '汤姆·克鲁斯', '瓦莱丽亚·戈利诺', '邦尼·亨特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p942376281.jpg,1046,1600,['巴瑞·莱文森'],1291870,8.6,45,雨人,https://movie.douban.com/subject/1291870/
"['迈尔斯·特勒', 'J·K·西蒙斯', '保罗·雷瑟', '梅莉莎·班诺伊', '奥斯汀·斯托维尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,3600,5333,['达米恩·查泽雷'],25773932,8.6,45,爆裂鼓手,https://movie.douban.com/subject/25773932/
"['布拉德·皮特', '梅拉尼·罗兰', '克里斯托弗·沃尔兹', '伊莱·罗斯', '迈克尔·法斯宾德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p770734475.jpg,684,1024,['昆汀·塔伦蒂诺'],1438652,8.4,40,无耻混蛋,https://movie.douban.com/subject/1438652/
"['约翰尼·德普', '海伦娜·伯翰·卡特', '艾米丽·沃森', '崔茜·尤玛', '保罗·怀特豪斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p735361409.jpg,800,1181,"['蒂姆·波顿', '迈克·约翰逊']",1309060,8.2,40,僵尸新娘,https://movie.douban.com/subject/1309060/
"['郎雄', '杨贵媚', '吴倩莲', '王渝文', '张艾嘉']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,404,584,['李安'],1291818,9.1,45,饮食男女,https://movie.douban.com/subject/1291818/
